Date,Material,Price,Unit,Source
2015-01-01,Acetic Acid,420.0,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-02-01,Acetic Acid,421.36,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-03-01,Acetic Acid,422.71,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-04-01,Acetic Acid,424.07,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-05-01,Acetic Acid,425.42,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-06-01,Acetic Acid,426.78,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-07-01,Acetic Acid,428.14,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-08-01,Acetic Acid,429.49,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-09-01,Acetic Acid,430.85,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-10-01,Acetic Acid,432.2,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-11-01,Acetic Acid,433.56,USD/MT,Chemanalyst/ICIS Trend Proxy
2015-12-01,Acetic Acid,434.92,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-01-01,Acetic Acid,436.27,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-02-01,Acetic Acid,437.63,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-03-01,Acetic Acid,438.98,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-04-01,Acetic Acid,440.34,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-05-01,Acetic Acid,441.69,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-06-01,Acetic Acid,443.05,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-07-01,Acetic Acid,444.41,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-08-01,Acetic Acid,445.76,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-09-01,Acetic Acid,447.12,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-10-01,Acetic Acid,448.47,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-11-01,Acetic Acid,449.83,USD/MT,Chemanalyst/ICIS Trend Proxy
2016-12-01,Acetic Acid,451.19,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-01-01,Acetic Acid,452.54,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-02-01,Acetic Acid,453.9,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-03-01,Acetic Acid,455.25,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-04-01,Acetic Acid,456.61,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-05-01,Acetic Acid,457.97,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-06-01,Acetic Acid,459.32,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-07-01,Acetic Acid,460.68,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-08-01,Acetic Acid,462.03,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-09-01,Acetic Acid,463.39,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-10-01,Acetic Acid,464.75,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-11-01,Acetic Acid,466.1,USD/MT,Chemanalyst/ICIS Trend Proxy
2017-12-01,Acetic Acid,467.46,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-01-01,Acetic Acid,468.81,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-02-01,Acetic Acid,470.17,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-03-01,Acetic Acid,471.53,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-04-01,Acetic Acid,472.88,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-05-01,Acetic Acid,474.24,USD/MT,Chemanalyst/ICIS Trend Proxy
2018-06-01,Acetic Acid,475.59,USD/MT,Chemanalyst/ICIS Trend Proxy
