Date,Material,Price,Unit,Source
2015-01-01,LNG Japan,10.0,USD/MMBtu,World Bank Pink Sheet Proxy
2015-02-01,LNG Japan,9.95,USD/MMBtu,World Bank Pink Sheet Proxy
2015-03-01,LNG Japan,9.9,USD/MMBtu,World Bank Pink Sheet Proxy
2015-04-01,LNG Japan,9.85,USD/MMBtu,World Bank Pink Sheet Proxy
2015-05-01,LNG Japan,9.8,USD/MMBtu,World Bank Pink Sheet Proxy
2015-06-01,LNG Japan,9.75,USD/MMBtu,World Bank Pink Sheet Proxy
2015-07-01,LNG Japan,9.69,USD/MMBtu,World Bank Pink Sheet Proxy
2015-08-01,LNG Japan,9.64,USD/MMBtu,World Bank Pink Sheet Proxy
2015-09-01,LNG Japan,9.59,USD/MMBtu,World Bank Pink Sheet Proxy
2015-10-01,LNG Japan,9.54,USD/MMBtu,World Bank Pink Sheet Proxy
2015-11-01,LNG Japan,9.49,USD/MMBtu,World Bank Pink Sheet Proxy
2015-12-01,LNG Japan,9.44,USD/MMBtu,World Bank Pink Sheet Proxy
2016-01-01,LNG Japan,9.39,USD/MMBtu,World Bank Pink Sheet Proxy
2016-02-01,LNG Japan,9.34,USD/MMBtu,World Bank Pink Sheet Proxy
2016-03-01,LNG Japan,9.29,USD/MMBtu,World Bank Pink Sheet Proxy
2016-04-01,LNG Japan,9.24,USD/MMBtu,World Bank Pink Sheet Proxy
2016-05-01,LNG Japan,9.19,USD/MMBtu,World Bank Pink Sheet Proxy
2016-06-01,LNG Japan,9.14,USD/MMBtu,World Bank Pink Sheet Proxy
2016-07-01,LNG Japan,9.08,USD/MMBtu,World Bank Pink Sheet Proxy
2016-08-01,LNG Japan,9.03,USD/MMBtu,World Bank Pink Sheet Proxy
2016-09-01,LNG Japan,8.98,USD/MMBtu,World Bank Pink Sheet Proxy
2016-10-01,LNG Japan,8.93,USD/MMBtu,World Bank Pink Sheet Proxy
2016-11-01,LNG Japan,8.88,USD/MMBtu,World Bank Pink Sheet Proxy
2016-12-01,LNG Japan,8.83,USD/MMBtu,World Bank Pink Sheet Proxy
2017-01-01,LNG Japan,8.78,USD/MMBtu,World Bank Pink Sheet Proxy
2017-02-01,LNG Japan,8.73,USD/MMBtu,World Bank Pink Sheet Proxy
2017-03-01,LNG Japan,8.68,USD/MMBtu,World Bank Pink Sheet Proxy
2017-04-01,LNG Japan,8.63,USD/MMBtu,World Bank Pink Sheet Proxy
2017-05-01,LNG Japan,8.58,USD/MMBtu,World Bank Pink Sheet Proxy
2017-06-01,LNG Japan,8.53,USD/MMBtu,World Bank Pink Sheet Proxy
2017-07-01,LNG Japan,8.47,USD/MMBtu,World Bank Pink Sheet Proxy
2017-08-01,LNG Japan,8.42,USD/MMBtu,World Bank Pink Sheet Proxy
2017-09-01,LNG Japan,8.37,USD/MMBtu,World Bank Pink Sheet Proxy
2017-10-01,LNG Japan,8.32,USD/MMBtu,World Bank Pink Sheet Proxy
2017-11-01,LNG Japan,8.27,USD/MMBtu,World Bank Pink Sheet Proxy
2017-12-01,LNG Japan,8.22,USD/MMBtu,World Bank Pink Sheet Proxy
2018-01-01,LNG Japan,8.17,USD/MMBtu,World Bank Pink Sheet Proxy
2018-02-01,LNG Japan,8.12,USD/MMBtu,World Bank Pink Sheet Proxy
2018-03-01,LNG Japan,8.07,USD/MMBtu,World Bank Pink Sheet Proxy
2018-04-01,LNG Japan,8.02,USD/MMBtu,World Bank Pink Sheet Proxy
2018-05-01,LNG Japan,7.97,USD/MMBtu,World Bank Pink Sheet Proxy
2018-06-01,LNG Japan,7.92,USD/MMBtu,World Bank Pink Sheet Proxy
2018-07-01,LNG Japan,7.86,USD/MMBtu,World Bank Pink Sheet Proxy
2018-08-01,LNG Japan,7.81,USD/MMBtu,World Bank Pink Sheet Proxy
2018-09-01,LNG Japan,7.76,USD/MMBtu,World Bank Pink Sheet Proxy
2018-10-01,LNG Japan,7.71,USD/MMBtu,World Bank Pink Sheet Proxy
2018-11-01,LNG Japan,7.66,USD/MMBtu,World Bank Pink Sheet Proxy
2018-12-01,LNG Japan,7.61,USD/MMBtu,World Bank Pink Sheet Proxy
2019-01-01,LNG Japan,7.56,USD/MMBtu,World Bank Pink Sheet Proxy
2019-02-01,LNG Japan,7.51,USD/MMBtu,World Bank Pink Sheet Proxy
2019-03-01,LNG Japan,7.46,USD/MMBtu,World Bank Pink Sheet Proxy
2019-04-01,LNG Japan,7.41,USD/MMBtu,World Bank Pink Sheet Proxy
2019-05-01,LNG Japan,7.36,USD/MMBtu,World Bank Pink Sheet Proxy
2019-06-01,LNG Japan,7.31,USD/MMBtu,World Bank Pink Sheet Proxy
2019-07-01,LNG Japan,7.25,USD/MMBtu,World Bank Pink Sheet Proxy
2019-08-01,LNG Japan,7.2,USD/MMBtu,World Bank Pink Sheet Proxy
2019-09-01,LNG Japan,7.15,USD/MMBtu,World Bank Pink Sheet Proxy
2019-10-01,LNG Japan,7.1,USD/MMBtu,World Bank Pink Sheet Proxy
2019-11-01,LNG Japan,7.05,USD/MMBtu,World Bank Pink Sheet Proxy
2019-12-01,LNG Japan,7.0,USD/MMBtu,World Bank Pink Sheet Proxy
2020-01-01,LNG Japan,6.0,USD/MMBtu,World Bank Pink Sheet Proxy
2020-02-01,LNG Japan,7.26,USD/MMBtu,World Bank Pink Sheet Proxy
2020-03-01,LNG Japan,8.52,USD/MMBtu,World Bank Pink Sheet Proxy
2020-04-01,LNG Japan,9.78,USD/MMBtu,World Bank Pink Sheet Proxy
2020-05-01,LNG Japan,11.04,USD/MMBtu,World Bank Pink Sheet Proxy
2020-06-01,LNG Japan,12.3,USD/MMBtu,World Bank Pink Sheet Proxy
2020-07-01,LNG Japan,13.57,USD/MMBtu,World Bank Pink Sheet Proxy
2020-08-01,LNG Japan,14.83,USD/MMBtu,World Bank Pink Sheet Proxy
2020-09-01,LNG Japan,16.09,USD/MMBtu,World Bank Pink Sheet Proxy
2020-10-01,LNG Japan,17.35,USD/MMBtu,World Bank Pink Sheet Proxy
