Date,Material,Price,Unit,Source
2015-01-01,Methanol,449.0,USD/MT,Methanex Historical Contract Prices
2015-02-01,Methanol,416.0,USD/MT,Methanex Historical Contract Prices
2015-03-01,Methanol,416.0,USD/MT,Methanex Historical Contract Prices
2015-04-01,Methanol,416.0,USD/MT,Methanex Historical Contract Prices
2015-05-01,Methanol,442.0,USD/MT,Methanex Historical Contract Prices
2015-06-01,Methanol,442.0,USD/MT,Methanex Historical Contract Prices
2015-07-01,Methanol,442.0,USD/MT,Methanex Historical Contract Prices
2015-08-01,Methanol,416.0,USD/MT,Methanex Historical Contract Prices
2015-09-01,Methanol,366.0,USD/MT,Methanex Historical Contract Prices
2015-10-01,Methanol,366.0,USD/MT,Methanex Historical Contract Prices
2015-11-01,Methanol,349.0,USD/MT,Methanex Historical Contract Prices
2015-12-01,Methanol,349.0,USD/MT,Methanex Historical Contract Prices
2016-01-01,Methanol,299.0,USD/MT,Methanex Historical Contract Prices
2016-02-01,Methanol,249.0,USD/MT,Methanex Historical Contract Prices
2016-03-01,Methanol,249.0,USD/MT,Methanex Historical Contract Prices
2016-04-01,Methanol,249.0,USD/MT,Methanex Historical Contract Prices
2016-05-01,Methanol,249.0,USD/MT,Methanex Historical Contract Prices
2016-06-01,Methanol,266.0,USD/MT,Methanex Historical Contract Prices
2016-07-01,Methanol,266.0,USD/MT,Methanex Historical Contract Prices
2016-08-01,Methanol,266.0,USD/MT,Methanex Historical Contract Prices
2016-09-01,Methanol,276.0,USD/MT,Methanex Historical Contract Prices
2016-10-01,Methanol,293.0,USD/MT,Methanex Historical Contract Prices
2016-11-01,Methanol,319.0,USD/MT,Methanex Historical Contract Prices
2016-12-01,Methanol,366.0,USD/MT,Methanex Historical Contract Prices
2017-01-01,Methanol,416.0,USD/MT,Methanex Historical Contract Prices
2017-02-01,Methanol,416.0,USD/MT,Methanex Historical Contract Prices
2017-03-01,Methanol,499.0,USD/MT,Methanex Historical Contract Prices
2017-04-01,Methanol,442.0,USD/MT,Methanex Historical Contract Prices
2017-05-01,Methanol,409.0,USD/MT,Methanex Historical Contract Prices
2017-06-01,Methanol,386.0,USD/MT,Methanex Historical Contract Prices
2017-07-01,Methanol,376.0,USD/MT,Methanex Historical Contract Prices
2017-08-01,Methanol,376.0,USD/MT,Methanex Historical Contract Prices
2017-09-01,Methanol,386.0,USD/MT,Methanex Historical Contract Prices
2017-10-01,Methanol,396.0,USD/MT,Methanex Historical Contract Prices
2017-11-01,Methanol,386.0,USD/MT,Methanex Historical Contract Prices
2017-12-01,Methanol,412.0,USD/MT,Methanex Historical Contract Prices
2018-01-01,Methanol,479.0,USD/MT,Methanex Historical Contract Prices
2018-02-01,Methanol,506.0,USD/MT,Methanex Historical Contract Prices
2018-03-01,Methanol,496.0,USD/MT,Methanex Historical Contract Prices
2018-04-01,Methanol,496.0,USD/MT,Methanex Historical Contract Prices
2018-05-01,Methanol,496.0,USD/MT,Methanex Historical Contract Prices
2018-06-01,Methanol,496.0,USD/MT,Methanex Historical Contract Prices
2018-07-01,Methanol,496.0,USD/MT,Methanex Historical Contract Prices
2018-08-01,Methanol,485.0,USD/MT,Methanex Historical Contract Prices
2018-09-01,Methanol,485.0,USD/MT,Methanex Historical Contract Prices
2018-10-01,Methanol,496.0,USD/MT,Methanex Historical Contract Prices
2018-11-01,Methanol,519.0,USD/MT,Methanex Historical Contract Prices
2018-12-01,Methanol,469.0,USD/MT,Methanex Historical Contract Prices
2019-01-01,Methanol,442.0,USD/MT,Methanex Historical Contract Prices
2019-02-01,Methanol,432.0,USD/MT,Methanex Historical Contract Prices
2019-03-01,Methanol,432.0,USD/MT,Methanex Historical Contract Prices
2019-04-01,Methanol,432.0,USD/MT,Methanex Historical Contract Prices
2019-05-01,Methanol,432.0,USD/MT,Methanex Historical Contract Prices
2019-06-01,Methanol,419.0,USD/MT,Methanex Historical Contract Prices
2019-07-01,Methanol,386.0,USD/MT,Methanex Historical Contract Prices
2019-08-01,Methanol,342.0,USD/MT,Methanex Historical Contract Prices
2019-09-01,Methanol,342.0,USD/MT,Methanex Historical Contract Prices
2019-10-01,Methanol,342.0,USD/MT,Methanex Historical Contract Prices
2019-11-01,Methanol,342.0,USD/MT,Methanex Historical Contract Prices
2019-12-01,Methanol,342.0,USD/MT,Methanex Historical Contract Prices
2020-01-01,Methanol,342.0,USD/MT,Methanex Historical Contract Prices
2020-02-01,Methanol,396.0,USD/MT,Methanex Historical Contract Prices
2020-03-01,Methanol,396.0,USD/MT,Methanex Historical Contract Prices
2020-04-01,Methanol,359.0,USD/MT,Methanex Historical Contract Prices
2020-05-01,Methanol,313.0,USD/MT,Methanex Historical Contract Prices
2020-06-01,Methanol,289.0,USD/MT,Methanex Historical Contract Prices
2020-07-01,Methanol,276.0,USD/MT,Methanex Historical Contract Prices
2020-08-01,Methanol,276.0,USD/MT,Methanex Historical Contract Prices
2020-09-01,Methanol,286.0,USD/MT,Methanex Historical Contract Prices
2020-10-01,Methanol,336.0,USD/MT,Methanex Historical Contract Prices
2020-11-01,Methanol,379.0,USD/MT,Methanex Historical Contract Prices
2020-12-01,Methanol,399.0,USD/MT,Methanex Historical Contract Prices
2021-01-01,Methanol,482.0,USD/MT,Methanex Historical Contract Prices
2021-02-01,Methanol,492.0,USD/MT,Methanex Historical Contract Prices
2021-03-01,Methanol,492.0,USD/MT,Methanex Historical Contract Prices
2021-04-01,Methanol,519.0,USD/MT,Methanex Historical Contract Prices
2021-05-01,Methanol,542.0,USD/MT,Methanex Historical Contract Prices
2021-06-01,Methanol,542.0,USD/MT,Methanex Historical Contract Prices
2021-07-01,Methanol,542.0,USD/MT,Methanex Historical Contract Prices
2021-08-01,Methanol,542.0,USD/MT,Methanex Historical Contract Prices
2021-09-01,Methanol,592.0,USD/MT,Methanex Historical Contract Prices
2021-10-01,Methanol,609.0,USD/MT,Methanex Historical Contract Prices
2021-11-01,Methanol,692.0,USD/MT,Methanex Historical Contract Prices
2021-12-01,Methanol,642.0,USD/MT,Methanex Historical Contract Prices
2022-01-01,Methanol,619.0,USD/MT,Methanex Historical Contract Prices
2022-02-01,Methanol,619.0,USD/MT,Methanex Historical Contract Prices
2022-03-01,Methanol,619.0,USD/MT,Methanex Historical Contract Prices
2022-04-01,Methanol,659.0,USD/MT,Methanex Historical Contract Prices
2022-05-01,Methanol,639.0,USD/MT,Methanex Historical Contract Prices
2022-06-01,Methanol,615.0,USD/MT,Methanex Historical Contract Prices
2022-07-01,Methanol,605.0,USD/MT,Methanex Historical Contract Prices
2022-08-01,Methanol,595.0,USD/MT,Methanex Historical Contract Prices
2022-09-01,Methanol,585.0,USD/MT,Methanex Historical Contract Prices
2022-10-01,Methanol,585.0,USD/MT,Methanex Historical Contract Prices
2022-11-01,Methanol,585.0,USD/MT,Methanex Historical Contract Prices
2022-12-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2023-01-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
2023-02-01,Methanol,575.0,USD/MT,Methanex Historical Contract Prices
