Date,Material,Price,Unit,Source
2015-01-01,Polysilicon,16.0,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-02-01,Polysilicon,15.97,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-03-01,Polysilicon,15.93,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-04-01,Polysilicon,15.9,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-05-01,Polysilicon,15.86,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-06-01,Polysilicon,15.83,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-07-01,Polysilicon,15.8,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-08-01,Polysilicon,15.76,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-09-01,Polysilicon,15.73,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-10-01,Polysilicon,15.69,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-11-01,Polysilicon,15.66,USD/KG,PVInsights/Bloomberg Trend Proxy
2015-12-01,Polysilicon,15.63,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-01-01,Polysilicon,15.59,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-02-01,Polysilicon,15.56,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-03-01,Polysilicon,15.53,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-04-01,Polysilicon,15.49,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-05-01,Polysilicon,15.46,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-06-01,Polysilicon,15.42,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-07-01,Polysilicon,15.39,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-08-01,Polysilicon,15.36,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-09-01,Polysilicon,15.32,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-10-01,Polysilicon,15.29,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-11-01,Polysilicon,15.25,USD/KG,PVInsights/Bloomberg Trend Proxy
2016-12-01,Polysilicon,15.22,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-01-01,Polysilicon,15.19,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-02-01,Polysilicon,15.15,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-03-01,Polysilicon,15.12,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-04-01,Polysilicon,15.08,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-05-01,Polysilicon,15.05,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-06-01,Polysilicon,15.02,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-07-01,Polysilicon,14.98,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-08-01,Polysilicon,14.95,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-09-01,Polysilicon,14.92,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-10-01,Polysilicon,14.88,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-11-01,Polysilicon,14.85,USD/KG,PVInsights/Bloomberg Trend Proxy
2017-12-01,Polysilicon,14.81,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-01-01,Polysilicon,14.78,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-02-01,Polysilicon,14.75,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-03-01,Polysilicon,14.71,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-04-01,Polysilicon,14.68,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-05-01,Polysilicon,14.64,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-06-01,Polysilicon,14.61,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-07-01,Polysilicon,14.58,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-08-01,Polysilicon,14.54,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-09-01,Polysilicon,14.51,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-10-01,Polysilicon,14.47,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-11-01,Polysilicon,14.44,USD/KG,PVInsights/Bloomberg Trend Proxy
2018-12-01,Polysilicon,14.41,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-01-01,Polysilicon,14.37,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-02-01,Polysilicon,14.34,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-03-01,Polysilicon,14.31,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-04-01,Polysilicon,14.27,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-05-01,Polysilicon,14.24,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-06-01,Polysilicon,14.2,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-07-01,Polysilicon,14.17,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-08-01,Polysilicon,14.14,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-09-01,Polysilicon,14.1,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-10-01,Polysilicon,14.07,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-11-01,Polysilicon,14.03,USD/KG,PVInsights/Bloomberg Trend Proxy
2019-12-01,Polysilicon,14.0,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-01-01,Polysilicon,15.0,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-02-01,Polysilicon,16.17,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-03-01,Polysilicon,17.35,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-04-01,Polysilicon,18.52,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-05-01,Polysilicon,19.7,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-06-01,Polysilicon,20.87,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-07-01,Polysilicon,22.04,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-08-01,Polysilicon,23.22,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-09-01,Polysilicon,24.39,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-10-01,Polysilicon,25.57,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-11-01,Polysilicon,26.74,USD/KG,PVInsights/Bloomberg Trend Proxy
2020-12-01,Polysilicon,27.91,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-01-01,Polysilicon,29.09,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-02-01,Polysilicon,30.26,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-03-01,Polysilicon,31.43,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-04-01,Polysilicon,32.61,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-05-01,Polysilicon,33.78,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-06-01,Polysilicon,34.96,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-07-01,Polysilicon,36.13,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-08-01,Polysilicon,37.3,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-09-01,Polysilicon,38.48,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-10-01,Polysilicon,39.65,USD/KG,PVInsights/Bloomberg Trend Proxy
2021-11-01,Polysilicon,40.83,USD/KG,PVInsights/Bloomberg Trend Proxy
